Video_URL,Video_Name
https://www.youtube.com/watch?v=zb4WCluWac0,DIY Coffee Creamer || Refined Sugar & Dairy Free
https://www.youtube.com/watch?v=k4QX1WZFSnY,EASY HEALTHY  SNACKS || Plant based delicious snacks for after school or work
https://www.youtube.com/watch?v=FYAsXzrjStc,TOFU QUICHE || What I Ate Christmas Brunch
https://www.youtube.com/watch?v=H_RdPqAk0T0,Healthy Breakfast Ideas | Easy Before Work or School
https://www.youtube.com/watch?v=oFgXoTr2XWI,VEGAN MEAL PREP | Lunches for Work or School
https://www.youtube.com/watch?v=PWu9fShY6mg,HEALTHY GROCERY HAUL | Vegan at Kroger
https://www.youtube.com/watch?v=QwNOUVjuzUY,VEGAN CHICKPEA TUNA SALAD | 6 Ingredient Healthy Lunch Recipe!
https://www.youtube.com/watch?v=XqlhDM1IMtY,COOK WITH ME | NIOMI SMART RECIPE | Kale Caesar Salad
https://www.youtube.com/watch?v=3JtzpbkVlRY,Healthy Green Breakfasts That Aren't Smoothies!
https://www.youtube.com/watch?v=Af6zEmh4gXE,EASY VEGAN FRIED RICE | Jordan Leigh Waddell
https://www.youtube.com/watch?v=IPpqtkDmGpU,HOW TO MEAL PLAN | VEGAN & FARMERS MARKET HAUL
https://www.youtube.com/watch?v=OM6Wk7I55NA,TRADER JOE'S HAUL | VEGAN & CHEAP!
https://www.youtube.com/watch?v=I50TPcgfUDE,MY FAVORITE APPLE CINNAMON GRANOLA RECIPE
https://www.youtube.com/watch?v=PPsFMMoNnII,EASY VEGAN MEAL PREP FOR TWO | IN LESS THAN ONE HOUR!
https://www.youtube.com/watch?v=Guw0eruq9OE,MEAL PREP WITH ME | Vegan Meals for the Summer!
https://www.youtube.com/watch?v=1pinITDHILQ,HIGH PROTEIN VEGAN LUNCH RECIPES | Meal Prep
https://www.youtube.com/watch?v=LOVc20RbGFs,"SWEET ""CHICKEN"" AVOCADO SALAD | Healthy Vegan Lunch Idea"
https://www.youtube.com/watch?v=g5JCR_ERRfg,SLOW COOKER DINNER RECIPES (Vegan)
https://www.youtube.com/watch?v=Muos6FFZbg0,ALDI VEGAN HAUL | Is it really cheaper?
https://www.youtube.com/watch?v=vnsK-0cpVns,EASY WEEKDAY MEALS (Realistic & Vegan)
https://www.youtube.com/watch?v=h05d0OCDagM,EASY VEGAN WEEKNIGHT DINNERS (Delicious + Healthy in 15 minutes)
https://www.youtube.com/watch?v=VT1Tr8LiPBs,Fall Meal Prep with Local & Seasonal Produce (Vegan)
https://www.youtube.com/watch?v=LgYGIBGEgl0,Vegan Thanksgiving Recipes in One Hour
https://www.youtube.com/watch?v=qCLs7d3NLX0,HEALTHY TOASTER OVEN RECIPES (Easy & Vegan)
https://www.youtube.com/watch?v=zcpnk0o1_SM,WINTER MEAL PREP & Fun in the Kitchen (with Recipes!) | 12 Days of Vlogmas Day 7
https://www.youtube.com/watch?v=Usu26rmN7gE,EASY VEGAN BROCCOLI POTATO SOUP | Recipe Testing + Taste Test! | 12 Days of Vlogmas Day 8
https://www.youtube.com/watch?v=xXkJbtFKkt4,WHAT I EAT IN A WEEK | Plant-Based Budget Meals with Recipes!
https://www.youtube.com/watch?v=G9YJdXsezSE,DUMP DINNERS | Healthy Slow Cooker Recipes (Meal Prep)
https://www.youtube.com/watch?v=td5AaWHmaiQ,"PLANT BASED DINNER RECIPES FOR LAZY NIGHTS | Simple, Easy Meals"
https://www.youtube.com/watch?v=X7NqgiOpcbw,HIGH FIBER DIET | Full Day of Eating Plant-Based Meals
https://www.youtube.com/watch?v=8mDaaNu98Iw,HUMMUS HACKS | Recipes Made Healthy with Hummus!
https://www.youtube.com/watch?v=ojH9Hbertnk,PLANT BASED DINNER RECIPES FOR AFTER WORK | Easy Weeknight Meals
https://www.youtube.com/watch?v=bs2U38Dc-mc,EASY PACKED COLD LUNCHES FOR WORK OR SCHOOL (Vegan)
https://www.youtube.com/watch?v=6_XTkhnjkc0,IRON RICH FOODS | What I Eat in a Day (Vegan)
https://www.youtube.com/watch?v=hiNYXnIQ0Vk,WEEKEND VEGAN BREAKFAST RECIPES (Healthy)
https://www.youtube.com/watch?v=mAg7J3peav4,TRADER JOES HAUL 2018 | Healthy + Vegan Foods For Meal Prep
https://www.youtube.com/watch?v=zviofQysp9M,HIGH PROTEIN BREAKFAST RECIPES (Vegan & Delicious)
https://www.youtube.com/watch?v=4Mdp-5QyLnU,HEALTHY GROCERY SHOPPING ON A BUDGET | Vegan Pantry Staples & Free Printable Grocery List
https://www.youtube.com/watch?v=Ycb1bBjd4sk,WHAT I ATE AS A VEGAN NURSING STUDENT & Early Morning Routine
https://www.youtube.com/watch?v=rt9QVmT3y2Q,WHAT I EAT IN A WEEK as a vegan nursing student (for energy & weight loss)
