Visible Actions,Stemmed Visible Actions
add the full avocado,add the full avocado
loading up the avocado,load up the avocado
mashing it up,mash it up
using a back of a spoon,use a back of a spoon
mashing up the avocado,mash up the avocado
spread it on,spread it on
do one half,do one half
adding the other half of the avocado,add the other half of the avocado
take my ezekiel toasts,take my ezekiel toasts
pull it out,pull it out
grab it,grab it
give it a little bit of a vacuum,give it a little bit of a vacuum
darkening my creases slightly with the darkest shade in the palette,darken my creases slightly with the darkest shade in the palette
highlight my inner corners,highlight my inner corners
using the medium shade in my crease iz,use the medium shade in my crease iz
setting my concealer with some bare minerals clear mineral veil,set my concealer with some bare minerals clear mineral veil
using the light shade,use the light shade
make our bed,make our bed
dusting part off,dust part off
blend it in even more with my beauty blender,blend it in even more with my beauty blender
use my maybelline mascara,use my maybelline mascara
curl my eyelashes,curl my eyelashes
watching netflix in the background,watch netflix in the background
putting on the elf foundation brush,put on the elf foundation brush
use a waterproof one,use a waterproof one
putting it on my face,put it on my face
mixing that with my sunscreen,mix that with my sunscreen
starting off with my foundation,start off with my foundation
removed the clamps,remove the clamps
screw into the top back of the board,screw into the top back of the board
screwing those in,screw those in
turned the chalkboard over,turn the chalkboard over
used the clamps,use the clamps
measuring the length of the wall,measure the length of the wall
did a little bit of every room,do a little bit of every room
put things away,put things away
ironing it,iron it
it straight,it straight
using my flat iron,use my flat iron
ironing my hair,iron my hair
top it with 1 tablespoon of unsweetened almond butter,top it with 1 tablespoon of unsweetened almond butter
cook the apples,cook the apples
sit down at my desk,sit down at my desk
go into my office my life,go into my office my life
go to my laptop,go to my laptop
finished my coffee,finish my coffee
get my notebook,get my notebook
leave a small space open,leave a small space open
cutting slits,cut slits
cutting strips,cut strips
tie them all together,tie them all together
put back,put back
add a few drops of essential oil into it,add a few drops of essential oil into it
using next we,use next we
use any yogurt,use any yogurt
take our berries,take our berries
add a really good crunch almost like a sunflower seed,add a really good crunch almost like a sunflower seed
top it off with some hemp heart seeds,top it off with some hemp heart seeds
take my coconut milk yogurt,take my coconut milk yogurt
has a little bit of coconut flakes,have a little bit of coconut flakes
use ground chia seeds,use ground chia seeds
top it off with some of the granola,top it off with some of the granola
take the garbage out,take the garbage out
look the ingredients,look the ingredients
adding my essential oils,add my essential oils
filled the container 3/4 of the way with distilled water vodka,fill the container 3/4 of the way with distilled water vodka
use essential oils,use essential oils
using baking soda,use bake soda
put my meal together,put my meal together
cooked brown rice,cook brown rice
chopped cherry tomatoes,chop cherry tomatoes
mix some sea salt,mix some sea salt
paste teaspoon of italian herb,paste teaspoon of italian herb
cooked now,cook now
add about one cup,add about one cup
adding my italian tomato chicken to my plate,add my italian tomato chicken to my plate
cook that on the stove over a medium heat,cook that on the stove over a medium heat
collect my tangy tomato chicken recipe,collect my tangy tomato chicken recipe
adding grams of skinless chicken breast pieces chicken,add grams of skinless chicken breast pieces chicken
stain them front,stain them front
making some really easy diy wood coasters now,make some really easy diy wood coasters now
stain these with the wood,stain these with the wood
watch my cleaning videos,watch my cleaning videos
try it,try it
goes perfectly with the cookie,go perfectly with the cookie
show,show
got a little snack bar,got a little snack bar
touch it lightly,touch it lightly
blend it,blend it
lined them with a little bit of parchment paper,line them with a little bit of parchment paper
spread it,spread it
taken some baking sheet,take some bake sheet
touching them,touch them
lift like this,lift like this
cut them into nice strips,cut them into nice strips
look gross,look gross
taste amazing,taste amazing
talked about it in my healthy breakfast video,talk about it in my healthy breakfast video
starving after,starve after
get the green color,get the green color
make breakfast,make breakfast
move on,move on
get my greens for the day,get my greens for the day
head to the kitchen,head to the kitchen
jumpstart my hydration for the morning,jumpstart my hydration for the morning
moving on to my master bathroom,move on to my master bathroom
eat a lot of nuts,eat a lot of nuts
tried it the other day,try it the other day
lightened slightly,lighten slightly
has four grams of sugar,have four grams of sugar
talking about the prepackaged oatmeal,talk about the prepackaged oatmeal
whack of options,whack of options
get all your nuts,get all your nuts
wipe down,wipe down
fixing my computer related cables,fix my computer related cables
swear melbourne,swear melbourne
gave them,give them
mentioned the other day in one of my videos,mention the other day in one of my videos
put everything away,put everything away
covered in makeup,cover in makeup
leave me a comment down below,leave me a comment down below
do this,do this
find online,find online
get a little bit of inspiration,get a little bit of inspiration
decorate your homes for summer,decorate your homes for summer
show her some love,show her some love
decorating our space for the seasons,decor our space for the seasons
pack your kid lunch,pack your kid lunch
put them in your kids lunches,put them in your kids lunches
dedicate to lunch fights,dedicate to lunch fights
saves on dishes,save on dishes
packs,packs
pack the lunches,pack the lunches
store everything in a large plastic storage bin,store everything in a large plastic storage bin
cutting boards,cut boards
freeze really well,freeze really well
make ahead surprisingly peanut butter,make ahead surprisingly peanut butter
keep in your kitchen,keep in your kitchen
make your life a lot easier,make your life a lot easier
making dinner for the kids,make dinner for the kids
use vanilla extract,use vanilla extract
add a pinch of cinnamon,add a pinch of cinnamon
cook that for about to minutes on the stove,cook that for about to minutes on the stove
adds healthy fats to my meal,add healthy fats to my meal
using at least the cinnamon,use at least the cinnamon
add great flavor,add great flavor
take longer,take longer
melt into the oats,melt into the oats
make it super creamy,make it super creamy
stir that up,stir that up
do a quick vacuum through there,do a quick vacuum through there
mop our tile floors with my steam,mop our tile floors with my steam
moving back into the bathroom,move back into the bathroom
eat my meals,eat my meals
add any more,add any more
sit down for a few minutes,sit down for a few minutes
sit down,sit down
drink it,drink it
make sure,make sure
leave a like on his video,leave a like on his video
give it a like,give it a like
doing a collab with jt,do a collab with jt
head over to his channel,head over to his channel
did a collab with that,do a collab with that
collab with someone,collab with someone
add the coolness microwaves,add the coolness microwaves
wipe it down,wipe it down
take a dry cloth as well,take a dry cloth as well
wipe down phase,wipe down phase
run a dishwasher load,run a dishwasher load
wipe down to the whole kitchen,wipe down to the whole kitchen
left over to dry in the sink,left over to dry in the sink
working in stages,work in stages
using the qv intensive super dry skin body,use the qv intensive super dry skin body
wash my face,wash my face
cleanse it,cleanse it
enjoys brushing their teeth in the shower,enjoy brushing their teeth in the shower
wasting water,waste water
get on with my admin work,get on with my admin work
use it on my face,use it on my face
sit down at my computer,sit down at my computer
do all of my emails,do all of my emails
make a little bedtime snack,make a little bedtime snack
watch my current guilty pleasure,watch my current guilty pleasure
helps the body,help the body
put on the trashy tv,put on the trashy tv
mirrors,mirror
add your fresh chicken,add your fresh chicken
add one teaspoon of apple cider vinegar some salt,add one teaspoon of apple cider vinegar some salt
put together a slightly healthier mayo combo,put together a slightly healthier mayo combo
mix that all together,mix that all together
chop your pecans,chop your pecans
combined that all together,combine that all together
using three parts greek yogurt,use three parts greek yogurt
work on dinner,work on dinner
get crispy on all the sides,get crispy on all the sides
make a salad,make a salad
put them on this grate,put them on this grate
add some of the greens,add some of the greens
paired it with some really simple ezekiel toast with half an avocado,pair it with some really simple ezekiel toast with half an avocado
mix throughout the eggs,mix throughout the eggs
take a handful of my baby spinach,take a handful of my baby spinach
look into that website,look into that website
found my breast pump,found my breast pump
shipped it right to my door,ship it right to my door
take all of the parts out,take all of the parts out
got this delivery earlier today,got this delivery earlier today
mix the chicken with one teaspoon of macadamia nut oil teaspoon of unsweetened white balsamic vinegar,mix the chicken with one teaspoon of macadamia nut oil teaspoon of unsweetened white balsamic vinegar
tossed them with of macadamia nut oil,toss them with of macadamia nut oil
mix some black pepper some sea salt,mix some black pepper some sea salt
add for grams skinless organic chicken breast pieces to a mixing bowl,add for grams skinless organic chicken breast pieces to a mix bowl
bake some chicken in the oven,bake some chicken in the oven
going to roast some baby potatoes,go to roast some baby potatoes
infused honey,infuse honey
add a little bit of vanilla,add a little bit of vanilla
combine the tea with the warm froth milk,combine the tea with the warm froth milk
brews your tea for depending on the type of tea,brew your tea for depend on the type of tea
brew off my tea,brew off my tea
recommend guys,recommend guys
making a tea latte,make a tea latte
got from honest beauty,got from honest beauty
take a quick shower,take a quick shower
used some honey flavored natural body,use some honey flavor natural body
use organic cinnamon,use organic cinnamon
use coconut sugar or agave,use coconut sugar or agave
add some cinnamon,add some cinnamon
putting honey on my oatmeal,put honey on my oatmeal
top it off with the rest of our banana,top it off with the rest of our banana
add your flour little by little cover,add your flour little by little cover
tell why in a second,tell why in a second
getting ready for the day,get ready for the day
do it for five minutes,do it for five minutes
reduce cellulite,reduce cellulite
making my bed,make my bed
changed into an old pair of tights,chang into an old pair of tights
tidy my apartment,tidy my apartment
stir it up,stir it up
add about of a cup of water,add about of a cup of water
making my quick oats with pomegranate,make my quick oats with pomegranate
mix it together,mix it together
chop it up into little bits,chop it up into little bits
start with one medjool date,start with one medjool date
add of a cup of oats to a large mason jar,add of a cup of oats to a large mason jar
add your dates in there,add your dates in there
pull it away from the hard stem,pull it away from the hard stem
add a mirror into here,add a mirror into here
put on my contacts,put on my contacts
use a mint aos,use a mint aos
use this face,use this face
wash my face with it,wash my face with it
gave in my face,give in my face
take my neutrogena naturals fresh facial cleanser,take my neutrogena natur fresh facial cleanser
use this mundu toner,use this mundu toner
explain,explain
going on a walk,go on a walk
loaded up the avocado,load up the avocado
add on your two poached eggs onto your avocado,add on your two poached eggs onto your avocado
enhance the flavors,enhance the flavors
add some cracked pepper on the avocados,add some crack pepper on the avocados
double up on that,double up on that
adding a little bit of black pepper,add a little bit of black pepper
blend all right,blend all right
squash it,squash it
mix it it,mix it it
stir everything up,stir everything up
peel it,peel it
use a whisk or whatever like,use a whisk or whatever like
use a whisk,use a whisk
take the whisk,take the whisk
use quarter to half a cup of water,use quarter to half a cup of water
add a few ice cubes,add a few ice cubes
make yourself a banana strawberry peanut butter smoothie,make yourself a banana strawberry peanut butter smoothie
making a smoothie,make a smoothie
blend it up,blend it up
adding water,add water
make it,make it
blending my classic strawberry banana smoothie,blend my classic strawberry banana smoothie
do my makeup,do my makeup
do my makeup,do my makeup
set everything,set everything
do the full face,do the full face
do a little bit of bronzing,do a little bit of bronzing
started with my foundation,start with my foundation
go around my neighborhood,go around my neighborhood
assemble my fajitas,assemble my fajitas
heat them up,heat them up
making vegetable fajitas,make vegetable fajitas
making dinner tonight,make dinner tonight
eat my breakfast,eat my breakfast
head over to my desk area,head over to my desk area
prepare mine with almond milk,prepare mine with almond milk
has some water,have some water
incorporated,incorporate
putting that over a pan,put that over a pan
using a bowl,use a bowl
melt once they,melt once they
sticking with the diy,stick with the diy
start with some pumpkin spice lip balm,start with some pumpkin spice lip balm
boiling underneath,boil underneath
use something,use something
wash my face,wash my face
hydrates the eyes,hydrate the eyes
finish with alpha lipoic acid cream,finish with alpha lipoic acid cream
cool down for a few minutes,cool down for a few minutes
add a few other ingredients,add a few other ingredients
added about one teaspoon of vanilla extract,add about one teaspoon of vanilla extract
add a little bit of pumpkin pie spice,add a little bit of pumpkin pie spice
mix that together,mix that together
melted,melt
listen to music,listen to music
pick up this one dollar spray bottle,pick up this one dollar spray bottle
use a spoon,use a spoon
use half or the full,use half or the full
slice it into cubes,slice it into cubes
take a fork or a whisk,take a fork or a whisk
going to mash up the avocado,go to mash up the avocado
cut open my avocado,cut open my avocado
scoop out the avocado into a bowl,scoop out the avocado into a bowl
throw in all your ingredients,throw in all your ingredients
ate it,eat it
crack two eggs into a bowl,crack two eggs into a bowl
pull the eggs into the pan,pull the eggs into the pan
whip them up with a fork,whip them up with a fork
adding another half to teaspoon of macadamia nut oil to my pan,add another half to teaspoon of macadamia nut oil to my pan
getting off my makeup,get off my makeup
wash my face,wash my face
leave that on the counter,leave that on the counter
got these hillary world best veggie burgers for us,got these hillary world best veggie burgers for us
get a coconut milk version ice cream,get a coconut milk version ice cream
give my hair a brush,give my hair a brush
head over to the bathroom,head over to the bathroom
pick it up,pick it up
brush my teeth,brush my teeth
pack all your bags,pack all your bags
put on at my lip product,put on at my lip product
brushed my teeth,brush my teeth
put it on,put it on
brushed my teeth,brush my teeth
use three to four limes,use three to four limes
put it through my garlic press,put it through my garlic press
toss this all together,toss this all together
cut up really finely,cut up really finely
use reusable grocery bags in the deep freezer,use reusable grocery bags in the deep freezer
used olives,use olives
cover it,cover it
cook after a couple minutes,cook after a couple minutes
